States,RRP
NSW,104.1
NSW,104.2
NSW,103.59
NSW,103.23
NSW,103.98
NSW,86.34
NSW,106.43
NSW,106.8
NSW,87.89
NSW,104.47
NSW,87.89
NSW,100.11
NSW,104.23
NSW,103.49
NSW,87.5
NSW,87.89
NSW,87.89
NSW,83.81
NSW,87.89
NSW,90.54
NSW,87.89
NSW,84.48
NSW,76.0
NSW,76.0
NSW,76.0
NSW,91.22
NSW,73.1
NSW,70.51
NSW,76.0
NSW,73.46
NSW,80.52
NSW,85.6
NSW,87.5
NSW,87.5
NSW,94.39
NSW,93.71
NSW,76.0
NSW,103.0
NSW,103.0
NSW,103.0
NSW,103.0
NSW,99.05
NSW,95.03
NSW,103.0
NSW,103.0
NSW,103.0
NSW,103.0
NSW,105.74
NSW,71.81
NSW,73.13
NSW,75.8
NSW,76.72
NSW,76.72
NSW,76.72
NSW,76.0
NSW,76.72
NSW,76.72
NSW,76.72
NSW,80.45
NSW,80.22
NSW,73.53
NSW,76.0
NSW,76.0
NSW,92.07
NSW,76.72
NSW,76.38
NSW,75.8
NSW,76.72
NSW,76.0
NSW,80.0
NSW,80.22
NSW,76.72
NSW,76.72
NSW,80.22
NSW,76.0
NSW,76.0
NSW,76.22
NSW,76.0
NSW,73.04
NSW,60.1
NSW,57.73
NSW,56.28
NSW,9.76
NSW,12.88
NSW,0.17
NSW,0.0
NSW,0.0
NSW,0.0
NSW,0.0
NSW,0.16
NSW,8.65
NSW,8.79
NSW,8.93
NSW,18.61
NSW,104.23
NSW,57.0
NSW,59.99
NSW,104.89
NSW,57.0
NSW,56.98
NSW,56.98
NSW,56.98
NSW,0.0
NSW,2.3
NSW,0.0
NSW,34.4
NSW,35.88
NSW,7.41
NSW,10.02
NSW,-29.58
NSW,-39.35
NSW,-41.27
NSW,-38.29
NSW,-40.8
NSW,-28.82
NSW,-32.73
NSW,-38.59
NSW,-38.62
NSW,-29.68
NSW,-38.6
NSW,-32.43
NSW,-29.77
NSW,-24.71
NSW,37.0
NSW,37.0
NSW,10.02
NSW,65.0
NSW,65.0
NSW,37.0
NSW,65.0
NSW,57.0
NSW,-42.01
NSW,-39.85
NSW,-38.46
NSW,-37.97
NSW,-38.16
NSW,-37.26
NSW,-37.2
NSW,-43.04
NSW,-39.54
NSW,-41.27
NSW,-44.42
NSW,-41.27
NSW,-41.51
NSW,-41.51
NSW,-41.27
NSW,-41.51
NSW,-41.51
NSW,-41.27
NSW,-41.27
NSW,-41.27
NSW,-37.57
NSW,-41.27
NSW,-37.76
NSW,-41.27
NSW,-37.38
NSW,-37.53
NSW,-41.27
NSW,-37.58
NSW,-37.69
NSW,-42.35
NSW,-41.27
NSW,-41.27
NSW,-38.88
NSW,-36.21
NSW,-35.72
NSW,-37.15
NSW,-27.62
NSW,-27.8
NSW,0.0
NSW,0.0
NSW,0.0
NSW,0.0
NSW,60.48
NSW,-27.44
NSW,-28.09
NSW,-37.93
NSW,-28.13
NSW,-28.29
NSW,-19.5
NSW,-28.37
NSW,-27.98
NSW,-28.29
NSW,-20.45
NSW,0.0
NSW,48.33
NSW,44.89
NSW,100.58
