Time,New South Wales,Victoria,Queensland,Western Australia,Southern Australia,Tasmania,Northen Territory
2008.00,800.9,695.3,629.2,132.9,80.2,12.4,
2009.00,771.8,688.7,547.5,125.6,79.7,11.5,
2010.00,732.2,681.2,497.2,130.6,72.6,10.1,
2011.00,692.7,705.7,481.5,125.0,60.9,8.9,
2012.00,643.0,622.0,473.4,129.8,50.7,12.0,
2013.00,603.5,605.6,442.9,136.1,46.7,11.0,
2014.00,587.8,641.2,485.3,127.6,54.0,11.3,
2015.00,620.9,617.4,517.8,136.4,52.6,9.7,
2016.00,625.9,577.3,544.2,145.9,26.1,10.7,
2017.00,636.7,467.4,570.6,136.2,25.9,10.5,
2018.00,640.3,444.1,554.2,126.8,26.3,10.0,
2019.00,606.6,423.2,524.4,119.5,24.7,8.3,
2020.00,579.8,427.7,506.1,114.3,25.4,8.1,
2021.00,534.6,410.7,485.6,121.1,25.9,8.8,
2022.00,525.4,398.2,471.1,99.4,22.0,8.8,
