Time,Coal,Oil,Gas,Renewables
1982.00,1194.90,1262.70,466.20,203.50
1983.00,1228.30,1306.70,490.00,200.90
1984.00,1334.20,1306.60,523.30,212.90
1985.00,1316.40,1304.90,570.70,214.90
1986.00,1401.50,1315.80,588.40,214.50
1987.00,1430.70,1369.30,610.50,218.40
1988.00,1548.40,1433.20,627.80,228.70
1989.00,1576.10,1452.70,688.10,233.00
1990.00,1623.20,1440.90,655.40,236.30
1991.00,1640.30,1444.50,678.60,221.90
1992.00,1642.60,1491.70,707.00,243.80
1993.00,1661.40,1532.50,736.80,252.30
1994.00,1710.10,1606.30,793.10,258.80
1995.00,1775.90,1663.90,797.00,267.20
1996.00,1852.60,1660.60,818.40,280.10
1997.00,1959.50,1680.10,859.30,278.20
1998.00,2022.70,1698.20,887.40,278.30
1999.00,2052.50,1722.90,921.50,274.10
2000.00,2081.50,1701.50,959.90,268.90
2001.00,2127.80,1750.00,974.70,244.50
2002.00,2118.70,1801.90,942.10,214.40
2003.00,2221.70,1810.50,974.00,217.50
2004.00,2254.50,1868.90,996.40,220.50
2005.00,2292.70,1969.60,1000.90,220.30
2006.00,2316.60,1988.20,1131.90,226.20
2007.00,2300.20,1983.90,1168.70,231.40
2008.00,2351.00,2000.70,1252.90,239.90
2009.00,2224.80,2058.00,1257.80,282.60
2010.00,2123.90,2212.00,1274.20,294.60
2011.00,2074.70,2184.20,1338.50,293.80
2012.00,1930.90,2278.00,1376.50,333.50
2013.00,1845.80,2297.20,1383.80,344.20
2014.00,1907.20,2236.60,1407.00,347.70
2015.00,1954.90,2279.50,1440.30,360.20
2016.00,1930.00,2318.00,1477.60,379.10
2017.00,1847.30,2404.10,1534.40,382.50
2018.00,1801.70,2424.40,1561.90,400.20
2019.00,1706.70,2251.80,1623.80,418.80
2020.00,1661.40,2082.20,1561.10,464.60
2021.00,1586.80,2106.90,1559.30,512.10
2022.00,1525.00,2285.50,1518.10,553.60
