Time,Coal,Gas,Oil,Refined Petroleum Products
1982.00,1608.50,0.00,64.60,91.60
1983.00,1914.30,0.00,114.70,110.30
1984.00,2398.30,0.00,284.70,83.40
1985.00,2564.60,0.00,265.80,90.10
1986.00,2722.80,0.00,281.90,86.40
1987.00,2932.50,0.00,302.40,104.10
1988.00,2860.90,0.00,239.60,104.80
1989.00,2981.10,109.30,319.10,97.50
1990.00,3239.60,185.00,366.40,114.30
1991.00,3521.80,253.50,373.60,145.30
1992.00,3676.80,271.10,412.90,140.90
1993.00,3682.40,328.10,387.10,134.90
1994.00,3890.80,381.80,455.00,126.50
1995.00,3959.10,407.00,442.20,159.80
1996.00,4156.10,407.20,522.90,198.30
1997.00,4617.70,416.20,621.80,182.60
1998.00,4807.60,425.40,592.70,154.60
1999.00,5014.00,431.00,845.90,151.50
2000.00,5518.10,409.60,961.20,169.20
2001.00,5632.72,413.40,968.10,124.60
2002.00,5942.09,425.76,861.39,114.96
2003.00,6228.17,430.51,727.19,90.84
2004.00,6614.71,576.04,658.85,67.22
2005.00,6611.55,654.39,557.54,76.84
2006.00,6951.67,779.68,666.95,63.58
2007.00,7157.15,744.09,660.98,66.29
2008.00,7384.43,838.30,681.23,43.41
2009.00,8304.57,986.90,743.33,31.53
2010.00,8055.01,1101.98,792.68,34.56
2011.00,8532.36,1041.36,701.78,47.18
2012.00,9507.00,1298.11,647.58,35.06
2013.00,10604.85,1283.93,614.61,24.70
2014.00,11085.61,1382.53,617.65,26.57
2015.00,11021.50,2059.38,567.69,24.37
2016.00,10705.90,2911.09,534.01,43.21
2017.00,10780.31,3441.25,543.97,46.37
2018.00,11154.11,4167.31,625.63,47.29
2019.00,11088.23,4413.47,766.92,42.15
2020.00,10346.27,4314.44,721.93,38.00
2021.00,10195.59,4636.77,772.04,18.82
2022.00,9625.85,4540.95,724.46,12.61
