lat,long,country,mag,month,day,year
40,25,GREECE,7,,,-330
51.45,-2.583,UK,,2,11,1764
36.08,36.25,TURKEY,,,,859
40,128,NORTH KOREA,,1,,1580
39.96,26.24,TURKEY,6,,,-1300
37.5,119.5,CHINA,,9,,-47
37,126,SOUTH KOREA,,10,21,1556
38.4,-28.1,PORTUGAL,,12,21,1641
33.1,139.8,JAPAN,,3,,1747
31.9,140,JAPAN,,1,23,1606
50.6,-2.466,UK,,9,18,1763
33.6,136,JAPAN,,,,1704
49.465,-2.585,UK,,8,14,1761
60.383,5.333,NORWAY,,5,26,1762
38.4,-27.1,PORTUGAL,,,,1653
38.5,-28.1,PORTUGAL,,11,23,1668
33.1,139.767,JAPAN,,,,1732
50.116,-5.483,UK,,11,11,1099
41.04,28.98,TURKEY,,10,26,975
38,125.7,NORTH KOREA,,8,23,1407
64,-19.683,ICELAND,,2,13,1693
54.68,-1.21,UK,,11,5,1755
28.271,-16.641,SPAIN,,5,5,1706
37.5,129.5,SOUTH KOREA,,6,26,1681
36.404,25.396,GREECE,6.3,9,29,1650
45.5,11,ITALY,,4,30,792
38.733,-27.066,PORTUGAL,,,,1676
34.8,138.6,JAPAN,,1,,1704
36.3,126,SOUTH KOREA,,9,24,1519
37.5,126,SOUTH KOREA,,8,6,1434
51.5,0.466,UK,,1,19,1609
32.5,130.6,JAPAN,,7,25,1562
51.5,0.1,UK,,9,27,1762
36.404,25.396,GREECE,6.2,,,46
51.5,-0.08,UK,,11,28,1767
51.208,-4.122,UK,,2,27,1756
35.1,129.05,EAST CHINA SEA,,7,31,1636
39.5,20,GREECE,,11,,1732
10.633,-64.3,VENEZUELA,,,,1726
38.4,22.3,GREECE,7.1,4,,551
31.7,35.5,DEAD SEA,,,,315
13.6,123.2,PHILIPPINES,,,,1747
-36.8,-73,CHILE,,3,23,1742
35.683,35.8,SYRIA,,,,-1365
-6.174,106.829,INDONESIA,,10,,1722
-5,102,INDONESIA,7,,,1770
49.5,-2.5,UK,,10,24,842
38.4,27.1,TURKEY,6.6,11,30,1667
38.4,27.3,TURKEY,6.8,2,2,1039
40.4,-8.7,PORTUGAL,,4,28,1752
38.7,-9.1,PORTUGAL,,3,29,1756
49.92,-6.32,UK,,7,15,1757
50.8,5.7,GERMANY,,4,4,1640
41.3,19.7,ALBANIA,6.5,9,,1273
33.56,35.37,LEBANON,,,,-525
33.27,35.22,LEBANON,,,,-590
37.1,138,JAPAN,7,7,10,863
10.7,-64.1,VENEZUELA,,,,1750
34.8,139,JAPAN,,2,7,1545
34.5,-13,PORTUGAL,8.5,3,31,1761
33.3,131.7,JAPAN,6.6,12,29,1715
34.4,137.7,JAPAN,6.4,7,9,1498
-6,107,INDONESIA,7.5,8,24,1757
-6.92,129.125,INDONESIA,,11,11,1659
13.1,121.6,PHILIPPINES,,7,,1653
17,121,PHILIPPINES,,,,1744
-16.6,-72.7,PERU,,3,27,1725
35.2,140.6,JAPAN,6.7,9,4,1642
40.9,28.9,TURKEY,6.8,2,12,1332
17.6,-76.5,JAMAICA,,3,1,1688
25,125.5,JAPAN,6.7,,,1667
31.5,121.5,CHINA,,6,17,1509
36.8,24.4,GREECE,6.5,7,19,1738
35.2,140.8,JAPAN,6.5,12,4,1732
16.8,-99.9,MEXICO,,2,25,1732
-17.3,-70.8,PERU,7.5,8,23,1715
34.3,134,JAPAN,6.7,12,20,1711
-4.53,129.9,INDONESIA,,3,6,1710
-3.69,128.15,INDONESIA,,11,28,1708
34,137,JAPAN,7,2,13,1708
36.5,126.5,SOUTH KOREA,6.5,9,12,1700
33.3,131.7,JAPAN,6.4,12,22,1698
-32.8,-70.7,CHILE,7.5,7,12,1687
37.5,129.5,SOUTH KOREA,,6,12,1681
13,121,PHILIPPINES,,3,,1675
-3.7,128.2,INDONESIA,6,5,6,1674
1.375,127.52,INDONESIA,,8,12,1673
40,26,GREECE,6.5,4,,1672
35.5,141,JAPAN,6.4,12,17,1670
23,120.1,TAIWAN,6,1,8,1661
-3,128,INDONESIA,,12,,1657
35.5,126,SOUTH KOREA,6.5,12,9,1649
41.04,28.98,TURKEY,,4,5,1646
35.5,129.5,SOUTH KOREA,6.5,7,25,1643
23,117,CHINA,,9,16,1640
-4.6,129.9,INDONESIA,,8,1,1629
18.4,121.6,PHILIPPINES,8,9,14,1627
32.5,130.6,JAPAN,6.4,5,1,1619
16.2,-88.5,HONDURAS,,11,24,1539
33.6,136.3,JAPAN,7,4,4,1520
34.6,135.4,JAPAN,6.7,9,21,1510
37.5,138.2,JAPAN,7,9,19,1448
